id|nombre_canton
66628|CUENCA
66629|CUENCA
66630|CUENCA
66631|CUENCA
66632|CUENCA
66633|CUENCA
66634|ATACAMES
13325351|CUENCA
66635|SANTA ELENA
66636|CUENCA
66637|QUITO
66638|CUENCA
66639|CUENCA
66640|GUAYAQUIL
66641|CUENCA
66642|CUENCA
66643|LIMÓN INDANZA
66644|CUENCA
66645|CUENCA
66646|CUENCA
66647|CUENCA
66648|CUENCA
66649|TENA
66650|MORONA
66651|QUITO
66652|CUENCA
66653|CUENCA
66654|SANTA ISABEL
66655|CUENCA
66656|CUENCA
66657|GUALACEO
66658|CUENCA
66659|GUALACEO
66660|SANTA ISABEL
66661|CUENCA
66662|CUENCA
66663|GUAYAQUIL
66664|PASTAZA
66665|CUENCA
66666|CUENCA
66667|GUALACEO
66668|RUMIÑAHUI
66669|QUITO
66670|QUITO
66671|QUITO
66672|NARANJAL
66673|CUENCA
66674|CUENCA
66675|CUENCA
66676|CUENCA
66677|LA JOYA DE LOS SACHAS
66678|PASAJE
66679|QUITO
66680|QUITO
66681|CUENCA
66682|GIRÓN
66683|MORONA
66684|CUENCA
66685|CUENCA
66686|MORONA
66687|HUAQUILLAS
66688|IBARRA
66689|CUENCA
66690|CUENCA
66691|GUAYAQUIL
66692|SANTIAGO
66693|CHORDELEG
66694|GUALACEO
66695|GUALACEO
66696|CUENCA
66697|GIRÓN
66698|QUITO
66699|CUENCA
66700|SUCÚA
66701|QUITO
66702|CUENCA
66703|PASTAZA
66704|CUENCA
66705|RUMIÑAHUI
66706|RUMIÑAHUI
66707|QUITO
66708|QUITO
66709|EL CHACO
66710|CUENCA
66711|GUALACEO
66712|CUENCA
66713|GUALACEO
66714|CUENCA
66715|CUENCA
66716|CUENCA
66717|CUENCA
66718|CUENCA
66719|CUENCA
66720|CUENCA
66721|CUENCA
66722|MORONA
66723|HUAQUILLAS
66724|SEVILLA DE ORO
66725|CUENCA
66726|CUENCA
66727|CUENCA
66728|CUENCA
66729|MORONA
66730|CUENCA
66731|GUAYAQUIL
66732|LIMÓN INDANZA
66733|CUENCA
66734|LOGROÑO
66735|GUAYAQUIL
66736|CUENCA
66737|CUENCA
66738|SALINAS
66739|CUENCA
66740|CUENCA
66741|CUENCA
66742|CUENCA
66743|CUENCA
66744|CUENCA
66745|LOJA
66746|CUENCA
66747|QUITO
66748|CUENCA
66749|GIRÓN
66750|CUENCA
66751|CUENCA
66752|GUALAQUIZA
66753|CUENCA
66754|MANTA
66755|CUENCA
66756|CUENCA
66757|CUENCA
66758|ZAMORA
66759|CUENCA
66760|CUENCA
66761|CUENCA
66762|CUENCA
66763|CUENCA
66764|CUENCA
66765|CUENCA
66766|CUENCA
66767|CUENCA
66768|CUENCA
66769|SANTA ELENA
66770|AZOGUES
66771|CUENCA
66772|CUENCA
66773|CUENCA
66774|CUENCA
66775|CUENCA
66776|CUENCA
66777|CUENCA
66778|CUENCA
66779|CUENCA
66780|SALINAS
66781|SUCÚA
66782|ORELLANA
66783|CUENCA
66784|CUENCA
66785|CUENCA
66786|CUENCA
66787|CUENCA
66788|PALORA
66789|SANTA CRUZ
66790|CUENCA
66791|SANTA ISABEL
66792|CUENCA
66793|CUENCA
66794|LOJA
66795|CUENCA
66796|OÑA
66797|CUENCA
66798|CUENCA
66799|CUENCA
66800|CUENCA
66801|SALINAS
66802|NARANJAL
66803|CUENCA
66804|PAUTE
66805|CUENCA
66806|PUERTO QUITO
66807|SIGSIG
66808|LA TRONCAL
66809|CUENCA
66810|CUENCA
66811|CUENCA
66812|MORONA
66813|CUENCA
66814|GUAYAQUIL
66815|CUENCA
66816|GUALACEO
66817|CUENCA
66818|SANTA ISABEL
66819|CUENCA
66820|MACHALA
66821|SIGSIG
66822|CUENCA
66823|PASTAZA
66824|CUENCA
66825|CUENCA
66826|CUENCA
66827|CUENCA
66828|MACHALA
66829|CUENCA
66830|VINCES
66831|BIBLIÁN
66832|SANTA ISABEL
66833|CUENCA
66834|CUENCA
66835|CUENCA
66836|CUENCA
66837|RUMIÑAHUI
66838|CUENCA
66839|CUENCA
66840|GUALACEO
66841|GUAYAQUIL
66842|CUENCA
66843|QUITO
66844|CUENCA
66845|CUENCA
66846|CUENCA
66847|AZOGUES
66848|AZOGUES
66849|CUENCA
66850|CUENCA
66851|CUENCA
66852|QUITO
66853|CUENCA
66854|GUAYAQUIL
66855|CUENCA
66856|CUENCA
66857|AMBATO
66858|CUENCA
66859|CUENCA
66860|CUENCA
66861|SANTA ISABEL
66862|SANTA ISABEL
66863|PUERTO LÓPEZ
66864|CUENCA
66865|SEVILLA DE ORO
66866|CUENCA
66867|CUENCA
66868|SALINAS
66869|QUITO
