idCategoria|Categoría
1|SEGUNDA
2|TERCERA
3|SEGUNDA
4|TERCERA
5|SEGUNDA
6|3 Estrellas
7|2 Estrellas
8|TERCERA
9|3 Estrellas
10|Categoría única
11|3 ESTRELLAS
12|PRIMERA
13|CUARTA
14|SEGUNDA
15|TERCERA
16|SEGUNDA
17|1 Estrellas
18|1 Estrellas
19|TERCERA
20|3 Estrellas
21|(1) Un tenedor
22|SEGUNDA
23|(1) Una copa
24|SEGUNDA
25|SEGUNDA / 3 TENEDORES
26|PRIMERA
27|TERCERA
28|TERCERA
29|TERCERA
30|2 Estrellas
31|2 Estrellas
32|TERCERA
33|SEGUNDA
34|TERCERA
35|SEGUNDA
36|CUARTA
37|TERCERA
38|1 Estrellas
39|CUARTA
40|SEGUNDA
41|SEGUNDA
42|PRIMERA
43|SEGUNDA
44|LUJO / 2 TAZAS
45|PRIMERA / 1 TAZA
46|SEGUNDA
47|PRIMERA
48|3 Estrellas
49|(1) Una tazas
50|(1) Una tazas
51|TERCERA
52|CUARTA
53|TERCERA
54|SEGUNDA / 3 TENEDORES
55|(1) Una tazas
56|2 Estrellas
57|2 Estrellas
58|3 Estrellas
59|PRIMERA
60|CUARTA
61|2 Estrellas
62|3 Estrellas
63|SEGUNDA
64|1 Estrellas
65|SEGUNDA
66|3 Estrellas
67|(1) Una tazas
68|1 Estrellas
69|3 Estrellas
70|SEGUNDA
71|3 Estrellas
72|SEGUNDA / 3 TENEDORES
73|SEGUNDA
74|3 Estrellas
75|1 ESTRELLAS
76|TERCERA
77|SEGUNDA
78|SEGUNDA
79|PRIMERA
80|TERCERA
81|PRIMERA
82|PRIMERA
83|1 Estrellas
84|PRIMERA
85|3 Estrellas
86|4 Estrellas
87|TERCERA
88|SEGUNDA
89|SEGUNDA
90|SEGUNDA
91|(1) Un tenedor
92|1 Estrellas
93|2 Estrellas
94|TERCERA
95|SEGUNDA
96|TERCERA
97|(1) Un tenedor
98|CUARTA
99|(1) Una tazas
100|SEGUNDA
101|TERCERA
102|(1) Un tenedor
103|TERCERA
104|PRIMERA
105|SEGUNDA
106|1 Estrellas
107|1 Estrellas
108|1 Estrellas
109|TERCERA
110|TERCERA
111|2 Estrellas
112|2 Estrellas
113|3 Estrellas
114|SEGUNDA
115|TERCERA
116|CUARTA
117|1 Estrellas
118|1 Estrellas
119|(1) Un tenedor
120|2 Estrellas
121|PRIMERA / 3 COPAS
122|(1) Una tazas
123|(1) Un tenedor
124|SEGUNDA
125|Categoría única
126|2 Estrellas
127|TERCERA
128|SEGUNDA
129|TERCERA
130|1 Estrellas
131|2 Estrellas
132|1 Estrellas
133|PRIMERA
134|CUARTA
135|TERCERA
136|3 Estrellas
137|TERCERA
138|Categoría única
139|SEGUNDA
140|(2) Dos tazas
141|SEGUNDA
142|PRIMERA
143|3 Estrellas
144|1 Estrellas
145|TERCERA
146|TERCERA
147|SEGUNDA
148|PRIMERA
149|TERCERA
150|4 Estrellas
151|(2) Dos tenedores
152|TERCERA
153|(1) Un tenedor
154|3 Estrellas
155|TERCERA
156|3 Estrellas
157|PRIMERA
158|TERCERA
159|SEGUNDA
160|(1) Un tenedor
161|TERCERA
162|4 Estrellas
163|3 Estrellas
164|TERCERA
165|TERCERA
166|(1) Una taza
167|SEGUNDA
168|1 Estrellas
169|TERCERA
170|CUARTA
171|SEGUNDA
172|TERCERA
173|3 Estrellas
174|(1) Un tenedor
175|2 Estrellas
176|CUARTA
177|2 Estrellas
178|SEGUNDA
179|3 Estrellas
180|TERCERA
181|CUARTA
182|TERCERA
183|PRIMERA
184|1 Estrellas
185|(1) Un tenedor
186|TERCERA
187|CUARTA
188|TERCERA
189|Categoría única
190|CUARTA
191|3 Estrellas
192|TERCERA
193|(1) Un tenedor
194|TERCERA
195|Categoría única
196|TERCERA
197|1 Estrellas
198|TERCERA
199|3 Estrellas
200|TERCERA
201|TERCERA
202|2 Estrellas
203|3 Estrellas
204|1 Estrellas
205|SEGUNDA
206|SEGUNDA
207|TERCERA
208|1 Estrellas
209|(1) Una copa
210|2 Estrellas
211|TERCERA
212|SEGUNDA
213|3 Estrellas
214|TERCERA
215|TERCERA
216|TERCERA
217|2 ESTRELLAS
218|TERCERA
219|1 Estrellas
220|Categoría única
221|(1) Una tazas
222|(1) Una taza
223|(1) Un tenedor
224|(1) Un tenedor
225|CUARTA
226|TERCERA / 2 TENEDORES
227|TERCERA
228|CUARTA
229|3 Estrellas
230|SEGUNDA
231|2 Estrellas
232|TERCERA
233|(1) Un tenedor
234|SEGUNDA
235|TERCERA
236|CUARTA
237|2 Estrellas
238|1 Estrellas
239|Categoría única
240|2 Estrellas
241|TERCERA
242|1 Estrellas
243|TERCERA / 2 TENEDORES
244|2 Estrellas
245|3 Estrellas
246|3 Estrellas
247|3 Estrellas
248|TERCERA
249|SEGUNDA
250|SEGUNDA
251|CUARTA
252|SEGUNDA
253|TERCERA
254|CUARTA
255|TERCERA
256|TERCERA
257|(1) Un tenedor
258|TERCERA
259|3 Estrellas
260|(2) Dos tenedores
261|2 Estrellas
262|3 Estrellas
263|TERCERA
264|1 Estrellas
265|SEGUNDA
266|(1) Un tenedor
267|2 Estrellas
268|SEGUNDA
269|SEGUNDA
270|CUARTA
271|2 Estrellas
272|SEGUNDA
273|TERCERA
274|TERCERA
275|CUARTA
276|Categoría única
277|(2) Dos tenedores
278|SEGUNDA
279|2 Estrellas
280|(1) Un tenedor
281|PRIMERA
282|CUARTA
283|3 Estrellas
284|TERCERA
285|TERCERA
286|CUARTA / 1 TENEDOR
287|TERCERA
288|4 Estrellas
289|PRIMERA
290|2 Estrellas
291|TERCERA
292|TERCERA
293|SEGUNDA
294|2 Estrellas
295|Categoría única
296|2 Estrellas
297|TERCERA
298|TERCERA
299|TERCERA
300|(3) Tres tenedores
301|TERCERA
302|(3) Tres copas
303|2 Estrellas
304|2 Estrellas
305|TERCERA
306|4 Estrellas
307|TERCERA
308|1 Estrellas
309|2 Estrellas
310|(2) Dos tenedores
311|TERCERA / 2 TENEDORES
312|3 Estrellas
313|1 Estrellas
314|TERCERA
315|SEGUNDA
316|3 Estrellas
317|Categoría única
318|SEGUNDA
319|(1) Un tenedor
320|TERCERA
321|TERCERA
322|CUARTA
323|TERCERA
324|SEGUNDA
325|TERCERA
326|PRIMERA
327|SEGUNDA
328|TERCERA
329|2 Estrellas
330|(1) Un tenedor
331|TERCERA
332|(1) Un tenedor
333|(2) Dos tenedores
334|(1) Una tazas
335|(2) Dos tenedores
336|(1) Una taza
337|3 Estrellas
338|2 Estrellas
339|PRIMERA
340|SEGUNDA
341|PRIMERA
342|PRIMERA
343|(1) Un tenedor
344|2 Estrellas
345|TERCERA
346|(2) Dos tenedores
347|TERCERA
348|1 Estrellas
349|TERCERA
350|2 Estrellas
351|(1) Un tenedor
352|TERCERA
353|2 Estrellas
354|(1) Una taza
355|2 Estrellas
356|SEGUNDA
357|TERCERA
358|TERCERA
359|3 Estrellas
360|LUJO
361|(1) Una tazas
362|CUARTA
363|SEGUNDA
