idEstablecimiento|nombre_esta|direccion|refen_direccion|telefono_principal|telefono_secun|email|paginaWeb|estimacion|horarios|id
22210|FAMA LA|BOLIVAR 12-86||2843739||||144|Lunes a sabado de 08:00 a22:00|44419
22211|COLONIAS LAS No.3|AV. ESPAÑA Y AV. HURTADO DE MENDOZA||2804790||||123|Lunes a sabado de 08:00 a22:00|44420
22212|QUINTA ELOISA|JOSE RAFAEL PEÑAHERRERA Y FERNANDO DE ARAGON||72829459||drraquel@live.com||219|Lunes a sabado de 08:00 a22:00|44421
22213|PINGUINO|REMIGIO CRESPO 6 87||2810586||||117|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|44422
22214|VILLA VERDE RECEPCIONES Y EVENTOS|AV. DE LAS AMERICAS 9-263 Y MANUELA SAENZ||983123255||info@villaverdeventos.com||248|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|44423
22215|HOTEL CORDERO|BOLIVAR 6-50 BORRERO|JUNTO A LA IGLESIA DE SAN ALFONSO O DIAGONAL AL DISPENSARIO CENTRAL DEL IESS|72843084|999074669|info@hotelcordero.com||111|Lunes a sabado de 08:00 a22:00|44424
22216|HOTEL PUERTO BALLESTA|CALLE A S/N BOULEVAR DEL MAR|HOTEL PUERTO BALLESTA||985670713|reservas@puertoballesta.com|www.puertoballesta.com|206|Lunes a sabado de 08:00 a22:00|44425
22217|CONEJOS|AV. ESPAÑA N.- 9-42 Y FRANCISCO PIZARRO||2800410||||210|Lunes a Domingo 24 horas|44426
22218|EL CARMELO AVENTURA AGROTURISTICA|via principal 1 SIN NOMBRE|'|42786693|994691666|elcarmeloaventura@gmail.com||171|Lunes a Viernes 08h30 a 17h30|44427
22219|DEPARTAMENTO TOPACIO|DEL ARUPO 1-05 ALISOS|DETRAS DE LA IGLESIA DEL VERGEL, A UNA CUADRA DE LA ESCUELA CARLOS ZAMBRANO|72455322|998160500|mafercis@hotmail.com||204|Lunes a domingo 24 horas|44428
22220|SUMAQ KAY|Maquiavelo E6-157 y Av. Siena|PISO: SN. SECTOR: FRENTE AL SCALA SHOPPING|999683735|992795962|reservas1@hotelsumaqkay.com|www.sumaqkay.com|166|Lunes a viernes de 08:00 a 18:00|44429
22221|CAPPUCHINO|BOLIVAR 10-09 Y PADRE AGUIRRE||2843782||||138|Lunes a domingo 24 horas|44430
22222|CAFE TERTULIAS|MARIANO CUEVA 4-91 Y HONORATO VASQUEZ||991610014||DBROVOS@YAHOO.COM||146|Lunes a domingo 24 horas|44431
22223|GOLDEN BAMBOO FUSION ORIENTAL|AV. PEDRO MENENDEZ GILBERT 100, PUERTO SANTA ANA ED. RIVER FRONT 2, LOCAL 2||43069305||anie_law@hotmail.com||128|Lunes a viernes de 08:00 a 18:00|44432
22224|STREET DOG'S|ELIA LIUT Y CALLE VIEJA, C.C. MIRAFLORES||72834318||MYMCONSTRUCCIONESELECTRICA@GMAIL.COM||154|Lunes a sabado de 08:00 a22:00|44433
22225|PEÑA NUESTRA AMERICA|PASACALLE S/N||72801656||||167|Lunes a domingo 24 horas|44434
22226|DIANITA|QUITO S/N SIMÓN BOLIVAR||72770122|991132246|hoteldianita@yahoo.es||182|Lunes a Viernes 08h30 a 17h00|44435
22227|PICHINCHA INTERNACIONAL|JUAN MONTALVO 9-78 GRAN COLOMBIA|A MEDIA CUADRA DE LA CLINICA BOLIVAR|72833695|988960147|hostalpichincha971@hotmail.com||204|Lunes a Viernes 08h30 a 17h00|44436
22228|LEO'S HOT DOG|AV.12 DE ABRIL Y UNIDAD NACIONAL||2880591||INGDIEGOCHACHA@HOTMAIL.COM||243|Lunes a Viernes 08h30 a 17h00|44437
22229|INCA REAL|GENERAL TORRES 8-40 SUCRE|A DOS CUADRAS DE LA IGLESIA EL CENACULO|72823636|999851517|segundos43@hotmail.com|www.hotelincareal.com.ec|215|Lunes a domingo 24 horas|44438
22230|FOS|EL BATAN S/N AV 12 DE ABRIL|a tres cuadras de la universidad de cuenca||989388031|fabysaavedra@yahoo.com||191|Lunes a sabado de 08:00 a22:00|44439
22231|MARIA NATIVIDAD EVENTOS|CAMINO A RAYOLOMA||72879342||||243|Lunes a domingo 24 horas|44440
22232|EL AMANECER||FRENTE A HOSTAL GOLD|62311047|998760082|matuamanecer@gmail.com||244|Lunes a sabado de 08:00 a22:00|44441
22233|CENTRO DE RECREACIÓN TURÍSTICA FREDDY AYUY|BARRIO LAS PALMERAS, A DOS CUADRAS DE LA ESCUELA FISCAL||994757103||antonioayuy2012@gmail.com||200|Lunes a sabado de 08:00 a22:00|44442
22234|DON FRANCISCO EL SABOR ORIGINAL|Imbabura N4-54 Y Mideros|A UNA CUADRA DEL C.C. HNO MIGUEL|22950363|984583856|juliaromanq@hotmail.com||188|Lunes a viernes 06:00 a 20:00|44443
22235|DOÑA MENESTRA N 2|AV DEL ESTADIO Y JOSE PERALTA||72882306||donamenestra2012@hotmail.com||105|Lunes a Domingo 24 horas|44444
22236|SABOR LATINO|TARQUI 9 30 Y BOLIVAR||2843546||||240|Lunes a viernes de 08:00 a 18:00|44445
22237|GUABOPAMBA|SANTA ISABEL SECTOR GUABOPAMBA||2270272||GINARIVERA_MEDINA1@HOTMAIL.COM||132|Lunes a domingo 24 horas|44446
22238|QUISQUEYA|PADRE AGUIRRE N.- 6-22||2844398||||187|Lunes a domingo 24 horas|44447
22239|EUROPA|GASPAR SANGURIMA 2-55 TOMAS ORDOÑEZ|JUNTO AL BANCO DEL PACIFICO|74114438|987501102|hoteleuropacuenca@gmail.com||139|Lunes a Domingo 24 horas|44448
