id|idioma|provincia_idProvincia
133255|español|111045
133256|español|111046
133257|español|111047
133258|español, quichua|111048
133259|español|111049
133260|español|111050
133261|español, shuar chicham, achuar chicham|111051
133262|español, quichua, a'ingae, siekopaai|111052
133263|español|111053
133264|español, shuar chicham, achuar chicham|111054
133265|español, quichua|111055
133266|español, quichua|111056
133267|español, quichua, shuar-chicham, huao terero, achuar-chicham, shiwiar, záparo, andwash|111057
133268|español, quichua|111058
133269|español, inglés, quichua|111059
133270|español|111060
133271|español|111061
133272|español|111062
133273|español|111063
133274|español, quichua, huao terero|111064
133275|español, quichua|111065
133276|español, quichua|111066
133277|español, quichua, awá pit|111067
133278|español|111068
133279|español|111069
133280|español, quichua|111070
133281|español|111071
133282|español, quichua, shuar-chicham, huao terero, achuar-chicham, shiwiar, záparo, andwash|111072
133283|español, quichua|111073
133284|español, quichua|111074
133285|español, quichua|111075
133286|español, quichua|111076
133287|español|111077
133288|español|111078
133289|español, inglés, quichua|111079
133290|español, quichua|111080
133291|español, quichua, shuar-chicham, huao terero, achuar-chicham, shiwiar, záparo, andwash|111081
133292|español|111082
133293|español, quichua, a'ingae, siekopaai|111083
133294|español, shuar chicham|111084
133295|español, quichua, awá pit|111085
133296|español, quichua, a'ingae, siekopaai|111086
133297|español|111087
133298|español, quichua|111088
133299|español, shuar chicham, achuar chicham|111089
133300|español, shuar chicham, achuar chicham|111090
133301|español, shuar chicham, achuar chicham|111091
133302|español, quichua, shuar-chicham, huao terero, achuar-chicham, shiwiar, záparo, andwash|111092
133303|español|111093
133304|español, quichua|111094
133305|español, inglés, cha'palaachi, awá pit, sia pedee|111095
133306|español, quichua|111096
133307|español|111097
133308|español, inglés, quichua|111098
133309|español|111099
133310|español, quichua, a'ingae, siekopaai|111100
133311|español|111101
133312|español|111102
133313|español, quichua, awá pit|111103
133314|español, quichua, shuar-chicham, huao terero, achuar-chicham, shiwiar, záparo, andwash|111104
133315|español|111105
133316|español|111106
133317|español, quichua, shuar-chicham, huao terero, achuar-chicham, shiwiar, záparo, andwash|111107
133318|español, shuar chicham, achuar chicham|111108
133319|español, quichua|111109
133320|español|111110
133321|español, quichua|111111
133322|español, inglés, quichua|111112
133323|español, Tsafiqui|111113
133324|español|111114
133325|español, quichua|111115
133326|español|111116
133327|español, quichua|111117
133328|español, quichua|111118
133329|español, quichua|111119
133330|español|111120
133331|español|111121
133332|español|111122
133333|español, quichua, a'ingae, siekopaai|111123
133334|español, quichua|111124
133335|español, quichua|111125
133336|español, quichua|111126
133337|español, quichua, awá pit|111127
133338|español|111128
133339|español|111129
133340|español|111130
133341|español, quichua|111131
133342|español|111132
133343|español, quichua|111133
133344|español|111134
133345|español, quichua|111135
133346|español, quichua, shuar-chicham, huao terero, achuar-chicham, shiwiar, záparo, andwash|111136
133347|español, quichua|111137
133348|español|111138
133349|español, inglés, quichua|111139
133350|español, inglés, quichua|111140
133351|español, quichua|111141
133352|español, quichua|111142
133353|español, quichua|111143
133354|español|111144
133355|español|111145
133356|español|111146
133357|español, quichua|111147
133358|español|111148
133359|español, quichua|111149
133360|español|111150
133361|español, quichua|111151
133362|español, quichua|111152
133363|español|111153
133364|español, quichua|111154
133365|español|111155
133366|español|111156
133367|español, quichua|111157
133368|español|111158
133369|español, quichua|111159
133370|español|111160
133371|español, quichua|111161
133372|español, quichua|111162
133373|español, quichua|111163
133374|español, quichua, shuar-chicham, huao terero, achuar-chicham, shiwiar, záparo, andwash|111164
133375|español, quichua|111165
133376|español, quichua|111166
133377|español, quichua, huao terero|111167
133378|español, quichua|111168
133379|español|111169
133380|español|111170
133381|español, quichua|111171
133382|español|111172
133383|español, quichua|111173
133384|español, quichua|111174
133385|español|111175
133386|español, quichua|111176
133387|español, quichua|111177
133388|español, quichua|111178
133389|español|111179
133390|español|111180
133391|español, inglés, quichua|111181
133392|español, quichua|111182
133393|español|111183
133394|español, quichua|111184
133395|español|111185
133396|español, quichua|111186
133397|español, quichua|111187
133398|español|111188
133399|español, quichua|111189
133400|español|111190
133401|español, quichua|111191
133402|español, quichua|111192
133403|español, quichua|111193
133404|español, quichua|111194
133405|español|111195
133406|español, quichua|111196
133407|español, quichua|111197
