id|nombre_parroquia|id_canton
88836|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66628
88837|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66629
88838|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66630
88839|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66631
88840|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66632
88841|EL SAGRARIO|66633
88842|TONSUPA|66634
88843|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66634
88844|COLONCHE|66635
88845|HUAYNACÁPAC|66636
88846|CUMBAYÁ|66637
88847|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66638
88848|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66639
88849|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66640
88850|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66641
88851|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66642
88852|GENERAL LEONIDAS PLAZA GUTIÉRREZ, CABECERA CANTONAL|66643
88853|GIL RAMÍREZ DÁVALOS|66644
88854|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66645
88855|EL SAGRARIO|66646
88856|SUCRE|66647
88857|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66648
88858|TENA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66649
88859|SEVILLA DON BOSCO|66650
88860|QUITO|66651
88861|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66652
88862|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66653
88863|SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL|66654
88864|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66655
88865|SAN BLAS|66656
88866|GUALACEO, CABECERA CANTONAL|66657
88867|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66658
88868|GUALACEO, CABECERA CANTONAL|66659
88869|SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL|66660
88870|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66661
88871|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66662
88872|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66663
88873|PUYO, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66664
88874|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66665
88875|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66666
88876|GUALACEO, CABECERA CANTONAL|66667
88877|SANGOLQUÍ, CABECERA CANTONAL|66668
88878|ALANGASÍ|66669
88879|ALANGASÍ|66670
88880|QUITO|66671
88881|JESUS MARIA|66672
88882|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66673
88883|EL SAGRARIO|66674
88884|MONAY|66675
88885|EL BATÁN|66676
88886|LA JOYA DE LOS SACHAS, CABECERA CANTONAL|66677
88887|BUENAVISTA|66678
88888|QUITO|66679
88889|QUITO|66680
88890|HUAYNACÁPAC|66681
88891|GIRÓN, CABECERA CANTONAL|66682
88892|MACAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66683
88893|GIL RAMÍREZ DÁVALOS|66684
88894|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66685
88895|SINAI|66686
88896|MILTON REYES|66687
88897|LA DOLOROSA DEL PRIORATO|66688
88898|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66689
88899|SAN SEBASTIÁN|66690
88900|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66691
88901|SAN FRANCISCO DE CHINIMBIMI|66692
88902|CHORDELEG, CABECERA CANTONAL|66693
88903|GUALACEO, CABECERA CANTONAL|66694
88904|GUALACEO, CABECERA CANTONAL|66695
88905|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66696
88906|GIRÓN, CABECERA CANTONAL|66697
88907|QUITO|66698
88908|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66699
88909|SUCÚA, CABECERA CANTONAL|66700
88910|QUITO|66701
88911|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66702
88912|FATIMA|66703
88913|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66704
88914|SANGOLQUÍ, CABECERA CANTONAL|66705
88915|SANGOLQUÍ, CABECERA CANTONAL|66706
88916|QUITO|66707
88917|QUITO|66708
88918|EL CHACO, CABECERA CANTONAL|66709
88919|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66710
88920|GUALACEO, CABECERA CANTONAL|66711
88921|HUAYNACÁPAC|66712
88922|GUALACEO, CABECERA CANTONAL|66713
88923|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66714
88924|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66715
88925|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66716
88926|SAYAUSÍ|66717
88927|SAN BLAS|66718
88928|EL SAGRARIO|66719
88929|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66720
88930|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66721
88931|MACAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66722
88932|MILTON REYES|66723
88933|SEVILLA DE ORO, CABECERA CANTONAL|66724
88934|CAÑARIBAMBA|66725
88935|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66726
88936|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66727
88937|RICAURTE|66728
88938|MACAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66729
88939|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66730
88940|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66731
88941|GENERAL LEONIDAS PLAZA GUTIÉRREZ, CABECERA CANTONAL|66732
88942|SAN SEBASTIÁN|66733
88943|LOGROÑO, CABECERA CANTONAL|66734
88944|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66735
88945|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66736
88946|SAN SEBASTIÁN|66737
88947|SALINAS, CABECERA CANTONAL|66738
88948|HUAYNACÁPAC|66739
88949|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66740
88950|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66741
88951|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66742
88952|BAÑOS|66743
88953|SAN SEBASTIÁN|66744
88954|VILCABAMBA (VICTORIA)|66745
88955|EL SAGRARIO|66746
88956|QUITO|66747
88957|EL VECINO|66748
88958|GIRÓN, CABECERA CANTONAL|66749
88959|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66750
88960|HUAYNACÁPAC|66751
88961|GUALAQUIZA, CABECERA CANTONAL|66752
88962|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66753
88963|MANTA, CABECERA CANTONAL|66754
88964|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66755
88965|EL VECINO|66756
88966|EL SAGRARIO|66757
88967|ZAMORA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66758
88968|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66759
88969|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66760
88970|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66761
88971|GIL RAMÍREZ DÁVALOS|66762
88972|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66763
88973|SAN SEBASTIÁN|66764
88974|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66765
88975|EL SAGRARIO|66766
88976|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66767
88977|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66768
88978|MANGLARALTO|66769
88979|AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66770
88980|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66771
88981|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66772
88982|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66773
88983|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66774
88984|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66775
88985|EL SAGRARIO|66776
88986|GIL RAMÍREZ DÁVALOS|66777
88987|SUCRE|66778
88988|EL SAGRARIO|66779
88989|SALINAS, CABECERA CANTONAL|66780
88990|SUCÚA, CABECERA CANTONAL|66781
88991|PUERTO FRANCISCO DE ORELLANA (EL COCA), CABECERA CANTONAL Y CAPITAL PROVINCIAL|66782
88992|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66783
88993|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66784
88994|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66785
88995|YANUNCAY|66786
88996|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66787
88997|SANGAY (CAB. EN NAYAMANACA)|66788
88998|PUERTO AYORA, CABECERA CANTONAL|66789
88999|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66790
89000|SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL|66791
89001|YANUNCAY|66792
89002|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66793
89003|EL SAGRARIO|66794
89004|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66795
89005|OÑA, SAN FELIPE DE OÑA CAB CANTONAL|66796
89006|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66797
89007|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66798
89008|EL SAGRARIO|66799
89009|SAN BLAS|66800
89010|JOSE LUIS TAMAYO (MUEY)|66801
89011|JESUS MARIA|66802
89012|EL SAGRARIO|66803
89013|PAUTE, CABECERA CANTONAL|66804
89014|EL SAGRARIO|66805
89015|PUERTO QUITO, CABECERA CANTONAL|66806
89016|SIGSIG, CABECERA CANTONAL|66807
89017|LA TRONCAL, CABECERA CANTONAL|66808
89018|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66809
89019|SAN SEBASTIÁN|66810
89020|EL BATÁN|66811
89021|MACAS, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66812
89022|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66813
89023|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66814
89024|SAN SEBASTIÁN|66815
89025|GUALACEO, CABECERA CANTONAL|66816
89026|SAN BLAS|66817
89027|SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL|66818
89028|MONAY|66819
89029|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66820
89030|SIGSIG, CABECERA CANTONAL|66821
89031|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66822
89032|PUYO, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66823
89033|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66824
89034|EL SAGRARIO|66825
89035|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66826
89036|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66827
89037|PUERTO BOLÍVAR|66828
89038|TARQUI|66829
89039|VINCES, CABECERA CANTONAL|66830
89040|BIBLIÁN, CABECERA CANTONAL|66831
89041|SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL|66832
89042|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66833
89043|SAN BLAS|66834
89044|HUAYNACÁPAC|66835
89045|HUAYNACÁPAC|66836
89046|SANGOLQUÍ, CABECERA CANTONAL|66837
89047|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66838
89048|SAN BLAS|66839
89049|GUALACEO, CABECERA CANTONAL|66840
89050|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66841
89051|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66842
89052|QUITO|66843
89053|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66844
89054|GIL RAMÍREZ DÁVALOS|66845
89055|SUCRE|66846
89056|AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66847
89057|AZOGUES, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66848
89058|EL SAGRARIO|66849
89059|TURI|66850
89060|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66851
89061|QUITO|66852
89062|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66853
89063|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66854
89064|EL SAGRARIO|66855
89065|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66856
89066|MATRIZ|66857
89067|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66858
89068|BAÑOS|66859
89069|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66860
89070|SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL|66861
89071|SANTA ISABEL (CHAGUARURCO), CABECERA CANTONAL|66862
89072|PUERTO LÓPEZ, CABECERA CANTONAL|66863
89073|SAN SEBASTIÁN|66864
89074|SEVILLA DE ORO, CABECERA CANTONAL|66865
89075|HUAYNACÁPAC|66866
89076|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66867
89077|SALINAS, CABECERA CANTONAL|66868
89078|QUITO|66869
89079|SAN SEBASTIÁN|66870
89080|RICAURTE|66871
89081|VICTORIA DEL PORTETE (IRQUIS)|66872
89082|ABDÓN CALDERÓN (LA UNIÓN)|66873
89083|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|66874
89084|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66875
89085|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66876
89086|PAUTE, CABECERA CANTONAL|66877
89087|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66878
89088|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66879
89089|CUENCA, CABECERA CANTONAL Y CAPITAL PROVINCIAL.|66880
