id_canton|nombre_canton|id_provincia 
66628|CUENCA|111045
66629|CUENCA|111046
66630|CUENCA|111047
66631|CUENCA|111048
66632|CUENCA|111049
66633|CUENCA|111050
66634|ATACAMES|111051
66635|CUENCA|111052
66636|SANTA ELENA|111053
66637|CUENCA|111054
66638|QUITO|111055
66639|CUENCA|111056
66640|CUENCA|111057
66641|GUAYAQUIL|111058
66642|CUENCA|111059
66643|CUENCA|111060
66644|LIMÓN INDANZA|111061
66645|CUENCA|111062
66646|CUENCA|111063
66647|CUENCA|111064
66648|CUENCA|111065
66649|CUENCA|111066
66650|TENA|111067
66651|MORONA|111068
66652|QUITO|111069
66653|CUENCA|111070
66654|CUENCA|111071
66655|SANTA ISABEL|111072
66656|CUENCA|111073
66657|CUENCA|111074
66658|GUALACEO|111075
66659|CUENCA|111076
66660|GUALACEO|111077
66661|SANTA ISABEL|111078
66662|CUENCA|111079
66663|CUENCA|111080
66664|GUAYAQUIL|111081
66665|PASTAZA|111082
66666|CUENCA|111083
66667|CUENCA|111084
66668|GUALACEO|111085
66669|RUMIÑAHUI|111086
66670|QUITO|111087
66671|QUITO|111088
66672|QUITO|111089
66673|NARANJAL|111090
66674|CUENCA|111091
66675|CUENCA|111092
66676|CUENCA|111093
66677|CUENCA|111094
66678|LA JOYA DE LOS SACHAS|111095
66679|PASAJE|111096
66680|QUITO|111097
66681|QUITO|111098
66682|CUENCA|111099
66683|GIRÓN|111100
66684|MORONA|111101
66685|CUENCA|111102
66686|CUENCA|111103
66687|MORONA|111104
66688|HUAQUILLAS|111105
66689|IBARRA|111106
66690|CUENCA|111107
66691|CUENCA|111108
66692|GUAYAQUIL|111109
66693|SANTIAGO|111110
66694|CHORDELEG|111111
66695|GUALACEO|111112
66696|GUALACEO|111113
66697|CUENCA|111114
66698|GIRÓN|111115
66699|QUITO|111116
66700|CUENCA|111117
66701|SUCÚA|111118
66702|QUITO|111119
66703|CUENCA|111120
66704|PASTAZA|111121
66705|CUENCA|111122
66706|RUMIÑAHUI|111123
66707|RUMIÑAHUI|111124
66708|QUITO|111125
66709|QUITO|111126
66710|EL CHACO|111127
66711|CUENCA|111128
66712|GUALACEO|111129
66713|CUENCA|111130
66714|GUALACEO|111131
66715|CUENCA|111132
66716|CUENCA|111133
66717|CUENCA|111134
66718|CUENCA|111135
66719|CUENCA|111136
66720|CUENCA|111137
66721|CUENCA|111138
66722|CUENCA|111139
66723|MORONA|111140
66724|HUAQUILLAS|111141
66725|SEVILLA DE ORO|111142
66726|CUENCA|111143
66727|CUENCA|111144
66728|CUENCA|111145
66729|CUENCA|111146
66730|MORONA|111147
66731|CUENCA|111148
66732|GUAYAQUIL|111149
66733|LIMÓN INDANZA|111150
66734|CUENCA|111151
66735|LOGROÑO|111152
66736|GUAYAQUIL|111153
66737|CUENCA|111154
66738|CUENCA|111155
66739|SALINAS|111156
66740|CUENCA|111157
66741|CUENCA|111158
66742|CUENCA|111159
66743|CUENCA|111160
66744|CUENCA|111161
66745|CUENCA|111162
66746|LOJA|111163
66747|CUENCA|111164
66748|QUITO|111165
66749|CUENCA|111166
66750|GIRÓN|111167
66751|CUENCA|111168
66752|CUENCA|111169
66753|GUALAQUIZA|111170
66754|CUENCA|111171
66755|MANTA|111172
66756|CUENCA|111173
66757|CUENCA|111174
66758|CUENCA|111175
66759|ZAMORA|111176
66760|CUENCA|111177
66761|CUENCA|111178
66762|CUENCA|111179
66763|CUENCA|111180
66764|CUENCA|111181
66765|CUENCA|111182
66766|CUENCA|111183
66767|CUENCA|111184
66768|CUENCA|111185
66769|CUENCA|111186
66770|SANTA ELENA|111187
66771|AZOGUES|111188
66772|CUENCA|111189
66773|CUENCA|111190
66774|CUENCA|111191
66775|CUENCA|111192
66776|CUENCA|111193
66777|CUENCA|111194
66778|CUENCA|111195
66779|CUENCA|111196
66780|CUENCA|111197
66781|SALINAS|111198
66782|SUCÚA|111199
66783|ORELLANA|111200
66784|CUENCA|111201
66785|CUENCA|111202
66786|CUENCA|111203
66787|CUENCA|111204
66788|CUENCA|111205
66789|PALORA|111206
66790|SANTA CRUZ|111207
66791|CUENCA|111208
66792|SANTA ISABEL|111209
66793|CUENCA|111210
66794|CUENCA|111211
66795|LOJA|111212
66796|CUENCA|111213
66797|OÑA|111214
66798|CUENCA|111215
66799|CUENCA|111216
66800|CUENCA|111217
66801|CUENCA|111218
66802|SALINAS|111219
66803|NARANJAL|111220
66804|CUENCA|111221
66805|PAUTE|111222
66806|CUENCA|111223
66807|PUERTO QUITO|111224
66808|SIGSIG|111225
66809|LA TRONCAL|111226
66810|CUENCA|111227
66811|CUENCA|111228
66812|CUENCA|111229
66813|MORONA|111230
66814|CUENCA|111231
66815|GUAYAQUIL|111232
66816|CUENCA|111233
66817|GUALACEO|111234
66818|CUENCA|111235
66819|SANTA ISABEL|111236
66820|CUENCA|111237
66821|MACHALA|111238
66822|SIGSIG|111239
66823|CUENCA|111240
66824|PASTAZA|111241
66825|CUENCA|111242
66826|CUENCA|111243
66827|CUENCA|111244
66828|CUENCA|111245
66829|MACHALA|111246
66830|CUENCA|111247
66831|VINCES|111248
66832|BIBLIÁN|111249
66833|SANTA ISABEL|111250
66834|CUENCA|111251
66835|CUENCA|111252
66836|CUENCA|111253
66837|CUENCA|111254
66838|RUMIÑAHUI|111255
66839|CUENCA|111256
66840|CUENCA|111257
66841|GUALACEO|111258
66842|GUAYAQUIL|111259
66843|CUENCA|111260
66844|QUITO|111261
66845|CUENCA|111262
66846|CUENCA|111263
66847|CUENCA|111264
66848|AZOGUES|111265
66849|AZOGUES|111266
66850|CUENCA|111267
66851|CUENCA|111268
66852|CUENCA|111269
66853|QUITO|111270
66854|CUENCA|111271
66855|GUAYAQUIL|111272
66856|CUENCA|111273
66857|CUENCA|111274
66858|AMBATO|111275
66859|CUENCA|111276
66860|CUENCA|111277
66861|CUENCA|111278
66862|SANTA ISABEL|111279
66863|SANTA ISABEL|111280
66864|PUERTO LÓPEZ|111281
66865|CUENCA|111282
66866|SEVILLA DE ORO|111283
66867|CUENCA|111284
66868|CUENCA|111285
66869|SALINAS|111286
66870|QUITO|111287
66871|CUENCA|111288
66872|CUENCA|111289
66873|CUENCA|111290
66874|SANTA ISABEL|111291
66875|GUAYAQUIL|111292
66876|CUENCA|111293
66877|CUENCA|111294
66878|PAUTE|111295
66879|CUENCA|111296
66880|CUENCA|111297
66881|CUENCA|111298
66882|CUENCA|111299
66883|GUAYAQUIL|111300
66884|CUENCA|111301
66885|CUENCA|111302
66886|CUENCA|111303
66887|CUENCA|111304
66888|CUENCA|111305
66889|SANTA ISABEL|111306
66890|CUENCA|111307
66891|CUENCA|111308
66892|CUENCA|111309
66893|CHORDELEG|111310
66894|CUENCA|111311
66895|AZOGUES|111312
66896|CUENCA|111313
66897|CUENCA|111314
66898|CUENCA|111315
66899|QUITO|111316
66900|SANTA ISABEL|111317
66901|CUENCA|111318
66902|CUENCA|111319
66903|CUENCA|111320
66904|CUENCA|111321
66905|GUALACEO|111322
66906|CUENCA|111323
66907|CUENCA|111324
66908|CUENCA|111325
66909|CUENCA|111326
66910|CUENCA|111327
66911|CUENCA|111328
66912|PAUTE|111329
66913|QUITO|111330
66914|GUALACEO|111331
66915|CUENCA|111332
66916|CUENCA|111333
66917|SHUSHUFINDI|111334
66918|CUENCA|111335
66919|CUENCA|111336
66920|CUENCA|111337
66921|MONTÚFAR|111338
66922|CUENCA|111339
66923|SAN JUAN BOSCO|111340
66924|CUENCA|111341
66925|CUENCA|111342
66926|CUENCA|111343
66927|CUENCA|111344
66928|CUENCA|111345
66929|LA TRONCAL|111346
66930|CUENCA|111347
66931|CUENCA|111348
66932|CUENCA|111349
66933|SANTIAGO|111350
66934|CUENCA|111351
66935|GUARANDA|111352
66936|CUENCA|111353
66937|CUENCA|111354
66938|QUITO|111355
66939|CUENCA|111356
66940|CUENCA|111357
66941|CUENCA|111358
66942|CUENCA|111359
66943|CUENCA|111360
66944|CUENCA|111361
66945|QUITO|111362
66946|CUENCA|111363
66947|CUENCA|111364
66948|CUENCA|111365
66949|GUALACEO|111366
66950|CUENCA|111367
66951|GUALACEO|111368
66952|GUALACEO|111369
66953|GUALACEO|111370
66954|CUENCA|111371
66955|CUENCA|111372
66956|CUENCA|111373
66957|CUENCA|111374
66958|CUENCA|111375
