idCategoria|Categoría|horarios|idEstablecimiento
1|SEGUNDA|Lunes a sabado de 08:00 a22:00|22210
2|TERCERA|Lunes a sabado de 08:00 a22:00|22211
3|SEGUNDA|Lunes a sabado de 08:00 a22:00|22212
4|TERCERA|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22213
5|SEGUNDA|lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|22214
6|3 Estrellas|Lunes a sabado de 08:00 a22:00|22215
7|2 Estrellas|Lunes a sabado de 08:00 a22:00|22216
8|TERCERA|Lunes a Domingo 24 horas|22217
9|3 Estrellas|Lunes a Viernes 08h30 a 17h30|22218
10|Categoría única|Lunes a domingo 24 horas|22219
11|3 ESTRELLAS|Lunes a viernes de 08:00 a 18:00|22220
12|PRIMERA|Lunes a domingo 24 horas|22221
13|CUARTA|Lunes a domingo 24 horas|22222
14|SEGUNDA|Lunes a viernes de 08:00 a 18:00|22223
15|TERCERA|Lunes a sabado de 08:00 a22:00|22224
16|SEGUNDA|Lunes a domingo 24 horas|22225
17|1 Estrellas|Lunes a Viernes 08h30 a 17h00|22226
18|1 Estrellas|Lunes a Viernes 08h30 a 17h00|22227
19|TERCERA|Lunes a Viernes 08h30 a 17h00|22228
20|3 Estrellas|Lunes a domingo 24 horas|22229
21|(1) Un tenedor|Lunes a sabado de 08:00 a22:00|22230
22|SEGUNDA|Lunes a domingo 24 horas|22231
23|(1) Una copa|Lunes a sabado de 08:00 a22:00|22232
24|SEGUNDA|Lunes a sabado de 08:00 a22:00|22233
25|SEGUNDA / 3 TENEDORES|Lunes a viernes 06:00 a 20:00|22234
26|PRIMERA|Lunes a Domingo 24 horas|22235
27|TERCERA|Lunes a viernes de 08:00 a 18:00|22236
28|TERCERA|Lunes a domingo 24 horas|22237
29|TERCERA|Lunes a domingo 24 horas|22238
30|2 Estrellas|Lunes a Domingo 24 horas|22239
31|2 Estrellas|Lunes a domingo 24 horas|22240
32|TERCERA|Lunes a domingo 24 horas|22241
33|SEGUNDA|Lunes a viernes 06:00 a 20:00|22242
34|TERCERA|Lunes a viernes 06:00 a 20:00|22243
35|SEGUNDA|Lunes a domingo 24 horas|22244
