idEstablecimiento|nombre_esta|clasificacion|direccion|refen_direccion|telefono_principal|telefono_secun|email|paginaWeb|estimacion|id_servicios
22210|FAMA LA|FUENTE DE SODA|BOLIVAR 12-86||2843739||||189|44419
22211|COLONIAS LAS No.3|RESTAURANTE|AV. ESPAÑA Y AV. HURTADO DE MENDOZA||2804790||||186|44420
22212|QUINTA ELOISA|SALA DE RECEPCIONES Y BANQUETES|JOSE RAFAEL PEÑAHERRERA Y FERNANDO DE ARAGON||72829459||drraquel@live.com||181|44421
22213|PINGUINO|FUENTE DE SODA|REMIGIO CRESPO 6 87||2810586||||203|44422
22214|VILLA VERDE RECEPCIONES Y EVENTOS|SALA DE RECEPCIONES Y BANQUETES|AV. DE LAS AMERICAS 9-263 Y MANUELA SAENZ||983123255||info@villaverdeventos.com||178|44423
22215|HOTEL CORDERO|HOTEL|BOLIVAR 6-50 BORRERO|JUNTO A LA IGLESIA DE SAN ALFONSO O DIAGONAL AL DISPENSARIO CENTRAL DEL IESS|72843084|999074669|info@hotelcordero.com||117|44424
22216|HOTEL PUERTO BALLESTA|HOTEL|CALLE A S/N BOULEVAR DEL MAR|HOTEL PUERTO BALLESTA||985670713|reservas@puertoballesta.com|www.puertoballesta.com|244|44425
22217|CONEJOS|RESTAURANTE|AV. ESPAÑA N.- 9-42 Y FRANCISCO PIZARRO||2800410||||233|44426
22218|EL CARMELO AVENTURA AGROTURISTICA|HOSTERÍA|via principal 1 SIN NOMBRE|'|42786693|994691666|elcarmeloaventura@gmail.com||194|44427
22219|DEPARTAMENTO TOPACIO|CASA DE HUÉSPEDES|DEL ARUPO 1-05 ALISOS|DETRAS DE LA IGLESIA DEL VERGEL, A UNA CUADRA DE LA ESCUELA CARLOS ZAMBRANO|72455322|998160500|mafercis@hotmail.com||167|44428
22220|SUMAQ KAY|HOTEL|Maquiavelo E6-157 y Av. Siena|PISO: SN. SECTOR: FRENTE AL SCALA SHOPPING|999683735|992795962|reservas1@hotelsumaqkay.com|www.sumaqkay.com|131|44429
22221|CAPPUCHINO|FUENTE DE SODA|BOLIVAR 10-09 Y PADRE AGUIRRE||2843782||||153|44430
22222|CAFE TERTULIAS|CAFETERÍA|MARIANO CUEVA 4-91 Y HONORATO VASQUEZ||991610014||DBROVOS@YAHOO.COM||148|44431
22223|GOLDEN BAMBOO FUSION ORIENTAL|RESTAURANTE|AV. PEDRO MENENDEZ GILBERT 100, PUERTO SANTA ANA ED. RIVER FRONT 2, LOCAL 2||43069305||anie_law@hotmail.com||105|44432
22224|STREET DOG'S|FUENTE DE SODA|ELIA LIUT Y CALLE VIEJA, C.C. MIRAFLORES||72834318||MYMCONSTRUCCIONESELECTRICA@GMAIL.COM||206|44433
22225|PEÑA NUESTRA AMERICA|SALA DE RECEPCIONES Y BANQUETES|PASACALLE S/N||72801656||||144|44434
22226|DIANITA|HOSTAL|QUITO S/N SIMÓN BOLIVAR||72770122|991132246|hoteldianita@yahoo.es||161|44435
22227|PICHINCHA INTERNACIONAL|HOSTAL|JUAN MONTALVO 9-78 GRAN COLOMBIA|A MEDIA CUADRA DE LA CLINICA BOLIVAR|72833695|988960147|hostalpichincha971@hotmail.com||135|44436
22228|LEO'S HOT DOG|FUENTE DE SODA|AV.12 DE ABRIL Y UNIDAD NACIONAL||2880591||INGDIEGOCHACHA@HOTMAIL.COM||101|44437
22229|INCA REAL|HOTEL|GENERAL TORRES 8-40 SUCRE|A DOS CUADRAS DE LA IGLESIA EL CENACULO|72823636|999851517|segundos43@hotmail.com|www.hotelincareal.com.ec|177|44438
22230|FOS|RESTAURANTE|EL BATAN S/N AV 12 DE ABRIL|a tres cuadras de la universidad de cuenca||989388031|fabysaavedra@yahoo.com||226|44439
22231|MARIA NATIVIDAD EVENTOS|SALA DE RECEPCIONES Y BANQUETES|CAMINO A RAYOLOMA||72879342||||173|44440
22232|EL AMANECER|BAR||FRENTE A HOSTAL GOLD|62311047|998760082|matuamanecer@gmail.com||129|44441
