id_provincia|nom_provin|poblacion|num_cantones|id_parroquia
111045|AZUAY|712127|15|88836
111046|AZUAY|712127|15|88837
111047|AZUAY|712127|15|88838
111048|AZUAY|712127|15|88839
111049|AZUAY|712127|15|88840
111050|AZUAY|712127|15|88841
111051|ESMERALDAS|534092|8|88842
111052|AZUAY|712127|15|88843
111053|SANTA ELENA|308693|3|88844
111054|AZUAY|712127|15|88845
111055|PICHINCHA|2576287|8|88846
111056|AZUAY|712127|15|88847
111057|AZUAY|712127|15|88848
111058|GUAYAS|3645483|25|88849
111059|AZUAY|712127|15|88850
111060|AZUAY|712127|15|88851
111061|MORONA SANTIAGO|147940|12|88852
111062|AZUAY|712127|15|88853
111063|AZUAY|712127|15|88854
111064|AZUAY|712127|15|88855
111065|AZUAY|712127|15|88856
111066|AZUAY|712127|15|88857
111067|NAPO|103697|5|88858
111068|MORONA SANTIAGO|147940|12|88859
111069|PICHINCHA|2576287|8|88860
111070|AZUAY|712127|15|88861
111071|AZUAY|712127|15|88862
111072|AZUAY|712127|15|88863
111073|AZUAY|712127|15|88864
111074|AZUAY|712127|15|88865
111075|AZUAY|712127|15|88866
111076|AZUAY|712127|15|88867
111077|AZUAY|712127|15|88868
111078|AZUAY|712127|15|88869
111079|AZUAY|712127|15|88870
111080|AZUAY|712127|15|88871
111081|GUAYAS|3645483|25|88872
111082|PASTAZA|83933|4|88873
111083|AZUAY|712127|15|88874
111084|AZUAY|712127|15|88875
111085|AZUAY|712127|15|88876
111086|PICHINCHA|2576287|8|88877
111087|PICHINCHA|2576287|8|88878
111088|PICHINCHA|2576287|8|88879
111089|PICHINCHA|2576287|8|88880
111090|GUAYAS|3645483|25|88881
111091|AZUAY|712127|15|88882
111092|AZUAY|712127|15|88883
111093|AZUAY|712127|15|88884
111094|AZUAY|712127|15|88885
111095|ORELLANA|136396|4|88886
111096|EL ORO|600659|14|88887
111097|PICHINCHA|2576287|8|88888
111098|PICHINCHA|2576287|8|88889
111099|AZUAY|712127|15|88890
111100|AZUAY|712127|15|88891
111101|MORONA SANTIAGO|147940|12|88892
111102|AZUAY|712127|15|88893
111103|AZUAY|712127|15|88894
111104|MORONA SANTIAGO|147940|12|88895
111105|EL ORO|600659|14|88896
111106|IMBABURA|398244|6|88897
111107|AZUAY|712127|15|88898
111108|AZUAY|712127|15|88899
111109|GUAYAS|3645483|25|88900
111110|MORONA SANTIAGO|147940|12|88901
111111|AZUAY|712127|15|88902
111112|AZUAY|712127|15|88903
111113|AZUAY|712127|15|88904
111114|AZUAY|712127|15|88905
111115|AZUAY|712127|15|88906
111116|PICHINCHA|2576287|8|88907
111117|AZUAY|712127|15|88908
111118|MORONA SANTIAGO|147940|12|88909
111119|PICHINCHA|2576287|8|88910
111120|AZUAY|712127|15|88911
111121|PASTAZA|83933|4|88912
111122|AZUAY|712127|15|88913
111123|PICHINCHA|2576287|8|88914
111124|PICHINCHA|2576287|8|88915
111125|PICHINCHA|2576287|8|88916
111126|PICHINCHA|2576287|8|88917
111127|NAPO|103697|5|88918
111128|AZUAY|712127|15|88919
111129|AZUAY|712127|15|88920
111130|AZUAY|712127|15|88921
111131|AZUAY|712127|15|88922
111132|AZUAY|712127|15|88923
111133|AZUAY|712127|15|88924
111134|AZUAY|712127|15|88925
111135|AZUAY|712127|15|88926
111136|AZUAY|712127|15|88927
111137|AZUAY|712127|15|88928
111138|AZUAY|712127|15|88929
111139|AZUAY|712127|15|88930
111140|MORONA SANTIAGO|147940|12|88931
111141|EL ORO|600659|14|88932
111142|AZUAY|712127|15|88933
111143|AZUAY|712127|15|88934
111144|AZUAY|712127|15|88935
111145|AZUAY|712127|15|88936
111146|AZUAY|712127|15|88937
111147|MORONA SANTIAGO|147940|12|88938
111148|AZUAY|712127|15|88939
111149|GUAYAS|3645483|25|88940
111150|MORONA SANTIAGO|147940|12|88941
111151|AZUAY|712127|15|88942
111152|MORONA SANTIAGO|147940|12|88943
111153|GUAYAS|3645483|25|88944
111154|AZUAY|712127|15|88945
111155|AZUAY|712127|15|88946
111156|SANTA ELENA|308693|3|88947
111157|AZUAY|712127|15|88948
111158|AZUAY|712127|15|88949
111159|AZUAY|712127|15|88950
111160|AZUAY|712127|15|88951
111161|AZUAY|712127|15|88952
111162|AZUAY|712127|15|88953
111163|LOJA|448966|16|88954
111164|AZUAY|712127|15|88955
111165|PICHINCHA|2576287|8|88956
111166|AZUAY|712127|15|88957
111167|AZUAY|712127|15|88958
111168|AZUAY|712127|15|88959
111169|AZUAY|712127|15|88960
111170|MORONA SANTIAGO|147940|12|88961
111171|AZUAY|712127|15|88962
111172|MANABÍ|1369780|22|88963
111173|AZUAY|712127|15|88964
111174|AZUAY|712127|15|88965
111175|AZUAY|712127|15|88966
111176|ZAMORA CHINCHIPE|91376|9|88967
111177|AZUAY|712127|15|88968
111178|AZUAY|712127|15|88969
111179|AZUAY|712127|15|88970
111180|AZUAY|712127|15|88971
111181|AZUAY|712127|15|88972
111182|AZUAY|712127|15|88973
111183|AZUAY|712127|15|88974
111184|AZUAY|712127|15|88975
111185|AZUAY|712127|15|88976
111186|AZUAY|712127|15|88977
111187|SANTA ELENA|308693|3|88978
111188|CAÑAR|225184|7|88979
111189|AZUAY|712127|15|88980
111190|AZUAY|712127|15|88981
111191|AZUAY|712127|15|88982
111192|AZUAY|712127|15|88983
111193|AZUAY|712127|15|88984
111194|AZUAY|712127|15|88985
111195|AZUAY|712127|15|88986
111196|AZUAY|712127|15|88987
111197|AZUAY|712127|15|88988
111198|SANTA ELENA|308693|3|88989
111199|MORONA SANTIAGO|147940|12|88990
111200|ORELLANA|136396|4|88991
111201|AZUAY|712127|15|88992
111202|AZUAY|712127|15|88993
111203|AZUAY|712127|15|88994
111204|AZUAY|712127|15|88995
111205|AZUAY|712127|15|88996
111206|MORONA SANTIAGO|147940|12|88997
111207|GALÁPAGOS|25124|3|88998
111208|AZUAY|712127|15|88999
111209|AZUAY|712127|15|89000
111210|AZUAY|712127|15|89001
111211|AZUAY|712127|15|89002
111212|LOJA|448966|16|89003
111213|AZUAY|712127|15|89004
111214|AZUAY|712127|15|89005
111215|AZUAY|712127|15|89006
111216|AZUAY|712127|15|89007
111217|AZUAY|712127|15|89008
111218|AZUAY|712127|15|89009
111219|SANTA ELENA|308693|3|89010
111220|GUAYAS|3645483|25|89011
111221|AZUAY|712127|15|89012
111222|AZUAY|712127|15|89013
111223|AZUAY|712127|15|89014
111224|PICHINCHA|2576287|8|89015
111225|AZUAY|712127|15|89016
111226|CAÑAR|225184|7|89017
111227|AZUAY|712127|15|89018
111228|AZUAY|712127|15|89019
111229|AZUAY|712127|15|89020
111230|MORONA SANTIAGO|147940|12|89021
111231|AZUAY|712127|15|89022
111232|GUAYAS|3645483|25|89023
111233|AZUAY|712127|15|89024
111234|AZUAY|712127|15|89025
111235|AZUAY|712127|15|89026
111236|AZUAY|712127|15|89027
111237|AZUAY|712127|15|89028
111238|EL ORO|600659|14|89029
111239|AZUAY|712127|15|89030
111240|AZUAY|712127|15|89031
111241|PASTAZA|83933|4|89032
111242|AZUAY|712127|15|89033
111243|AZUAY|712127|15|89034
111244|AZUAY|712127|15|89035
111245|AZUAY|712127|15|89036
111246|EL ORO|600659|14|89037
111247|AZUAY|712127|15|89038
111248|LOS RÍOS|778115|13|89039
111249|CAÑAR|225184|7|89040
111250|AZUAY|712127|15|89041
111251|AZUAY|712127|15|89042
111252|AZUAY|712127|15|89043
111253|AZUAY|712127|15|89044
111254|AZUAY|712127|15|89045
111255|PICHINCHA|2576287|8|89046
111256|AZUAY|712127|15|89047
111257|AZUAY|712127|15|89048
111258|AZUAY|712127|15|89049
111259|GUAYAS|3645483|25|89050
