id|cantón
37481|GUAYAQUIL
37482|GUAYAQUIL
37483|GUAYAQUIL
37484|MACHALA
37485|GUAYAQUIL
37486|PORTOVIEJO
37487|PORTOVIEJO
37488|PORTOVIEJO
37489|GUAYAQUIL
37490|MANTA
37491|GUAYAQUIL
37492|GUAYAQUIL
37493|PORTOVIEJO
37494|PASAJE
37495|MANTA
37496|PUERTO LÓPEZ
37497|GUAYAQUIL
37498|MANTA
37499|HUAQUILLAS
37500|JIPIJAPA
37501|MANTA
37502|SANTA ROSA
37503|SANTA ANA
37504|MANTA
37505|SANTA ANA
37506|MANTA
37507|GUAYAQUIL
37508|SALINAS
37509|GUAYAQUIL
37510|SANTA ELENA
37511|PUERTO LÓPEZ
37512|SAMBORONDÓN
37513|GUAYAQUIL
37514|GUAYAQUIL
37515|GUAYAQUIL
37516|GUAYAQUIL
37517|SALINAS
37518|ZARUMA
37519|GUAYAQUIL
37520|GUAYAQUIL
37521|SALINAS
37522|GUAYAQUIL
37523|GUAYAQUIL
37524|MANTA
37525|GUAYAQUIL
37526|GUAYAQUIL
37527|MANTA
37528|GUAYAQUIL
37529|BABAHOYO
37530|NARANJAL
37531|MANTA
37532|MANTA
37533|GUAYAQUIL
37534|GUAYAQUIL
37535|GUAYAQUIL
37536|SANTA ROSA
37537|GUAYAQUIL
37538|MACHALA
37539|MANTA
37540|SANTA ROSA
37541|PORTOVIEJO
37542|PUERTO LÓPEZ
37543|MILAGRO
37544|SANTA ELENA
37545|GUAYAQUIL
37546|GUAYAQUIL
37547|MANTA
37548|GUAYAQUIL
37549|GUAYAQUIL
37550|GUAYAQUIL
37551|MANTA
37552|MANTA
37553|GUAYAQUIL
37554|GUAYAQUIL
37555|MANTA
37556|GUAYAQUIL
37557|GUAYAQUIL
37558|SANTA ROSA
37559|MACHALA
37560|GUAYAQUIL
37561|PUERTO LÓPEZ
37562|GUAYAQUIL
37563|DAULE
37564|GUAYAQUIL
37565|PORTOVIEJO
37566|GUAYAQUIL
37567|PORTOVIEJO
37568|GUAYAQUIL
37569|MANTA
37570|SALINAS
37571|SALINAS
37572|EL GUABO
37573|GUAYAQUIL
37574|GUAYAQUIL
37575|GUAYAQUIL
37576|LOMAS DE SARGENTILLO
37577|GUAYAQUIL
37578|GUAYAQUIL
37579|GUAYAQUIL
37580|SAMBORONDÓN
37581|MANTA
37582|GUAYAQUIL
37583|MANTA
37584|PUERTO LÓPEZ
37585|GUAYAQUIL
37586|PEDERNALES
37587|SAMBORONDÓN
37588|PORTOVIEJO
37589|GUAYAQUIL
37590|MANTA
37591|GUAYAQUIL
37592|GUAYAQUIL
37593|PORTOVIEJO
37594|PEDERNALES
37595|GUAYAQUIL
37596|QUEVEDO
37597|MANTA
37598|GUAYAQUIL
37599|GUAYAQUIL
37600|SAMBORONDÓN
37601|DAULE
37602|GUAYAQUIL
37603|GUAYAQUIL
37604|GUAYAQUIL
37605|MACHALA
37606|MACHALA
37607|GUAYAQUIL
37608|GUAYAQUIL
37609|MACHALA
37610|MACHALA
37611|MANTA
37612|MACHALA
37613|SALINAS
37614|GUAYAQUIL
37615|GUAYAQUIL
37616|MACHALA
37617|GUAYAQUIL
37618|GUAYAQUIL
37619|ZARUMA
37620|GUAYAQUIL
37621|SAMBORONDÓN
37622|SAMBORONDÓN
37623|GUAYAQUIL
37624|TOSAGUA
37625|PORTOVIEJO
37626|PORTOVIEJO
37627|PORTOVIEJO
37628|GUAYAQUIL
37629|MANTA
37630|MACHALA
37631|MANTA
37632|SALINAS
37633|GUAYAQUIL
37634|QUEVEDO
37635|PUERTO LÓPEZ
37636|SALINAS
37637|GUAYAQUIL
37638|GUAYAQUIL
37639|SANTA ELENA
37640|SANTA ELENA
37641|GUAYAQUIL
37642|GUAYAQUIL
37643|SANTA ELENA
37644|MANTA
37645|HUAQUILLAS
37646|GUAYAQUIL
37647|PORTOVIEJO
37648|PORTOVIEJO
37649|PIÑAS
37650|MONTECRISTI
37651|PUERTO LÓPEZ
37652|GUAYAQUIL
37653|GUAYAQUIL
37654|GUAYAQUIL
37655|MANTA
37656|PORTOVIEJO
37657|SANTA ROSA
37658|SAMBORONDÓN
37659|SALINAS
37660|MILAGRO
37661|GUAYAQUIL
37662|GUAYAQUIL
37663|SAMBORONDÓN
37664|SALINAS
37665|DAULE
37666|GUAYAQUIL
37667|GUAYAQUIL
37668|GUAYAQUIL
