id|Categoría |id_1
14992|TERCERA|0
14993|CUARTA|1
14994|TERCERA|2
14995|TERCERA|3
14996|TERCERA|4
14997|AGENCIA DE VIAJES INTERNACIONAL|5
14998|1 Estrellas|6
14999|CUARTA|7
15000|SEGUNDA|8
15001|SEGUNDA|9
15002|TERCERA|10
15003|TERCERA|11
15004|OPERADOR TURÍSTICO|12
15005|TERCERA|13
15006|TERCERA|14
15007|2 Estrellas|15
15008|TERCERA|16
15009|TERCERA|17
15010|1 Estrellas|18
15011|SEGUNDA|19
15012|TERCERA|20
15013|TERCERA|21
15014|3 Estrellas|22
15015|SEGUNDA|23
15016|CUARTA|24
15017|PRIMERA|25
15018|SEGUNDA|26
15019|PRIMERA|27
15020|AGENCIA DE VIAJES DUAL|28
15021|TERCERA|29
15022|TERCERA|30
15023|(4) Cuatro tenedores|31
15024|(2) Dos tenedores|32
15025|TERCERA|33
15026|SEGUNDA|34
15027|CUARTA|35
15028|SEGUNDA|36
15029|SEGUNDA|37
15030|SEGUNDA|38
15031|AGENCIA DE VIAJES MAYORISTA|39
15032|(1) Un tenedor|40
15033|CUARTA|41
15034|CUARTA|42
15035|TERCERA|43
15036|SEGUNDA|44
15037|CUARTA|45
15038|SEGUNDA|46
15039|OPERADOR TURÍSTICO|47
15040|CUARTA|48
15041|OPERADOR TURÍSTICO|49
15042|CUARTA|50
15043|TERCERA|51
15044|PRIMERA|52
15045|2 Estrellas|53
15046|AGENCIA DE VIAJES INTERNACIONAL|54
15047|SEGUNDA|55
15048|(1) Un tenedor|56
15049|(2) Dos tenedores|57
15050|TERCERA|58
15051|SEGUNDA|59
15052|(1) Una copa|60
15053|1 Estrellas|61
15054|SERVICIO TRANSP.TERRES.TURIS.|62
15055|SEGUNDA|63
15056|RENT A CAR|64
15057|CUARTA|65
15058|TERCERA|66
15059|TERCERA|67
15060|SEGUNDA|68
15061|CUARTA|69
15062|CUARTA|70
15063|SEGUNDA|71
15064|CUARTA|72
15065|TERCERA|73
15066|CUARTA|74
15067|CUARTA|75
15068|AGENCIA DE VIAJES MAYORISTA|76
15069|TERCERA|77
15070|4 Estrellas|78
15071|CUARTA|79
15072|OPERADOR TURÍSTICO|80
15073|INTER_OPER|81
15074|AGENCIA DE VIAJES DUAL|82
15075|INTER_OPER|83
15076|AGENCIA DE VIAJES DUAL|84
15077|AGENCIA DE VIAJES DUAL|85
15078|AGENCIA DE VIAJES DUAL|86
15079|AGENCIA DE VIAJES INTERNACIONAL|87
15080|AGENCIA DE VIAJES INTERNACIONAL|88
15081|2 Estrellas|89
15082|2 Estrellas|90
15083|TERCERA|91
15084|AGENCIA DE VIAJES INTERNACIONAL|92
15085|AGENCIA DE VIAJES INTERNACIONAL|93
15086|AGENCIA DE VIAJES INTERNACIONAL|94
15087|AGENCIA DE VIAJES DUAL|95
15088|AGENCIA DE VIAJES INTERNACIONAL|96
15089|AGENCIA DE VIAJES INTERNACIONAL|97
15090|AGENCIA DE VIAJES INTERNACIONAL|98
15091|AGENCIA DE VIAJES INTERNACIONAL|99
15092|SEGUNDA|100
15093|TERCERA|101
15094|TERCERA|102
15095|SEGUNDA|103
15096|SEGUNDA|104
15097|2 Estrellas|105
15098|SEGUNDA|106
15099|CUARTA|107
15100|AGENCIA DE VIAJES INTERNACIONAL|108
15101|Categoría única|109
15102|INTER_OPER|110
15103|3 Estrellas|111
15104|AGENCIA DE VIAJES DUAL|112
15105|1 Estrellas|113
15106|3 Estrellas|114
15107|(1) Un tenedor|115
15108|SEGUNDA|116
15109|SEGUNDA|117
15110|SEGUNDA|118
15111|SEGUNDA|119
15112|TERCERA|120
15113|SEGUNDA|121
