id|Nombre Comercial|Clasificación|Dirección|Referencia de Dirección |Teléfona Principal|Teléfono Secundario|Correo Electrónico|Dirección web|Horario de atención |estimacion de usuarios mensual|id_1
0|88|RESTAURANTE|GOMEZ RENDON #4027 Y LA 18 AVA.||2464891||||Lunes a sabado de 08:00 a22:00|136|7496
1|414|RESTAURANTE|LUIS URDANETA 106 ENTRE ROCAFUERTE Y CORDOVA||||||Lunes a sabado de 08:00 a22:00|168|7497
2|717|RESTAURANTE|CHILE 717 Y COLON||91808532||||Lunes a sabado de 08:00 a22:00|234|7498
3|44530|BAR|BUENAVISTA 3011 E/. ARIZAGA Y MANUEL SERRANO||2963609||||lunes y jueves desde las 12:00 hasta la 01:00, viernes y sabados desde las 12:00 hasta las 04:00, domingos desde las 12:00 hasta las 20:00|246|7499
4|46966|RESTAURANTE|AVDA. 9 DE OCTUBRE 828 ENTRE RUMICHACA Y GARCIA AVILES||2306558||||Lunes a sabado de 08:00 a22:00|195|7500
5| 365 FLIGHTS S.A.|AGENCIA DE VIAJES INTERNACIONAL|AV. REALES TAMARINDOS S/N CALLE ROTARIO|FRENTE A LA FARMACIA SAN GREGORIO|52631149|987311160|info@365flights.com.ec|www.365flights.com.ec|Lunes a Viernes 08h30 a 17h30|146|7501
6| BELLA VISTA CRUCITA|HOSTAL|MALECON S/N VIÑA DEL MAR|A LADO DEL RESTAURANT EL DELFIN|''|993979358|piscomerocristhian@gmail.com|''| Lunes a domingo 24 horas|114|7502
7| BELLAVISTA|CAFETERÍA|KM 21/2 VIA A MANTA||||||Lunes a Viernes 08h30 a 17h00|101|7503
8| CAFE DE TERE|CAFETERÍA|VIA LA COSTA, PORTAL DEL SOL #1-2-3 MZ. 1383||96777491||contabilidad@elcafedetere.com||Lunes a Viernes 08h30 a 17h00|159|7504
9| CAFETERIA VERDE Y CAFE|CAFETERÍA|AV.FLAVO REYES Y CALLE 22||2625143||verde.cafe@hotmail.com||Lunes a Viernes 08h30 a 17h00|218|7505
