id|parroquia|id_1
22489|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37481
22490|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37482
22491|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37483
22492|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37484
22493|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37485
22494|PORTOVIEJO, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37486
22495|CRUCITA|37487
22496|PORTOVIEJO, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37488
22497|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37489
22498|MANTA, CABECERA CANTONAL|37490
22499|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37491
22500|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37492
22501|CRUCITA|37493
22502|PASAJE, CABECERA CANTONAL|37494
22503|MANTA, CABECERA CANTONAL|37495
22504|SALANGO|37496
22505|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37497
22506|MANTA, CABECERA CANTONAL|37498
22507|MILTON REYES|37499
22508|JIPIJAPA, CABECERA CANTONAL|37500
22509|MANTA, CABECERA CANTONAL|37501
22510|SANTA ROSA (CABECERA CANTONAL)|37502
22511|HONORATO VASQUEZ (CAB EN VASQUEZ)|37503
22512|MANTA, CABECERA CANTONAL|37504
22513|SANTA ANA DE VUELTA LARGA|37505
22514|MANTA, CABECERA CANTONAL|37506
22515|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37507
22516|SALINAS, CABECERA CANTONAL|37508
22517|TARQUI|37509
22518|MANGLARALTO|37510
22519|MACHALILLA|37511
22520|LA PUNTILLA (SATÉLITE)|37512
22521|TARQUI|37513
22522|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37514
22523|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37515
22524|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37516
22525|SALINAS, CABECERA CANTONAL|37517
22526|ZARUMA, CABECERA CANTONAL|37518
22527|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37519
22528|TARQUI|37520
22529|SALINAS, CABECERA CANTONAL|37521
22530|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37522
22531|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37523
22532|MANTA, CABECERA CANTONAL|37524
22533|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37525
22534|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37526
22535|MANTA, CABECERA CANTONAL|37527
22536|TARQUI|37528
22537|SOZORANGA (CAB. CANTONAL)|37529
22538|NARANJAL, CABECERA CANTONAL|37530
22539|MANTA, CABECERA CANTONAL|37531
22540|MANTA, CABECERA CANTONAL|37532
22541|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37533
22542|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37534
22543|CHONGON|37535
22544|SANTA ROSA (CABECERA CANTONAL)|37536
22545|TARQUI|37537
22546|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37538
22547|MANTA, CABECERA CANTONAL|37539
22548|SANTA ROSA (CABECERA CANTONAL)|37540
22549|PORTOVIEJO, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37541
22550|PUERTO LÓPEZ, CABECERA CANTONAL|37542
22551|MILAGRO, CABECERA CANTONAL|37543
22552|MANGLARALTO|37544
22553|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37545
22554|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37546
22555|MANTA, CABECERA CANTONAL|37547
22556|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37548
22557|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37549
22558|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37550
22559|MANTA, CABECERA CANTONAL|37551
22560|MANTA, CABECERA CANTONAL|37552
22561|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37553
22562|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37554
22563|MANTA, CABECERA CANTONAL|37555
22564|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37556
22565|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37557
22566|SANTA ROSA (CABECERA CANTONAL)|37558
22567|PUERTO BOLÍVAR|37559
22568|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37560
22569|PUERTO LÓPEZ, CABECERA CANTONAL|37561
22570|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37562
22571|LOS LOJAS (ENRIQUE BAQUERIZO MORENO)|37563
22572|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37564
22573|18 DE OCTUBRE|37565
22574|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37566
22575|PORTOVIEJO, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37567
22576|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37568
22577|MANTA, CABECERA CANTONAL|37569
22578|SALINAS, CABECERA CANTONAL|37570
22579|SALINAS, CABECERA CANTONAL|37571
22580|EL GUABO, CABECERA CANTONAL|37572
22581|TARQUI|37573
22582|TARQUI|37574
22583|CARBO (CONCEPCIÓN)|37575
22584|LOMAS DE SARGENTILLO|37576
22585|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37577
22586|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37578
22587|TARQUI|37579
22588|TARIFA|37580
22589|MANTA, CABECERA CANTONAL|37581
22590|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37582
22591|MANTA, CABECERA CANTONAL|37583
22592|PUERTO LÓPEZ, CABECERA CANTONAL|37584
22593|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37585
22594|PEDERNALES, CABECERA CANTONAL|37586
22595|SAMBORONDÓN, CABECERA CANTONAL|37587
22596|PORTOVIEJO, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37588
22597|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37589
22598|MANTA, CABECERA CANTONAL|37590
22599|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37591
22600|TARQUI|37592
22601|ANDRÉS DE VERA|37593
22602|PEDERNALES, CABECERA CANTONAL|37594
22603|TARQUI|37595
22604|QUEVEDO, CABECERA CANTONAL|37596
22605|MANTA, CABECERA CANTONAL|37597
22606|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37598
22607|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37599
22608|SAMBORONDÓN, CABECERA CANTONAL|37600
22609|LOS LOJAS (ENRIQUE BAQUERIZO MORENO)|37601
22610|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37602
22611|TARQUI|37603
22612|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37604
22613|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37605
22614|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37606
22615|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37607
22616|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37608
22617|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37609
22618|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37610
22619|MANTA, CABECERA CANTONAL|37611
22620|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37612
22621|SALINAS, CABECERA CANTONAL|37613
22622|TARQUI|37614
22623|TENGUEL|37615
22624|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37616
22625|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37617
22626|TARQUI|37618
22627|ZARUMA, CABECERA CANTONAL|37619
22628|TARQUI|37620
22629|SAMBORONDÓN, CABECERA CANTONAL|37621
22630|SAMBORONDÓN, CABECERA CANTONAL|37622
22631|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37623
22632|TOSAGUA, CABECERA CANTONAL|37624
22633|CRUCITA|37625
22634|CRUCITA|37626
22635|CRUCITA|37627
22636|TARQUI|37628
22637|MANTA, CABECERA CANTONAL|37629
22638|MACHALA, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37630
22639|MANTA, CABECERA CANTONAL|37631
22640|JOSE LUIS TAMAYO (MUEY)|37632
22641|NUEVE DE OCTUBRE|37633
22642|SAN CAMILO|37634
22643|PUERTO LÓPEZ, CABECERA CANTONAL|37635
22644|SALINAS, CABECERA CANTONAL|37636
22645|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37637
22646|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37638
22647|MANGLARALTO|37639
22648|MANGLARALTO|37640
22649|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37641
22650|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37642
22651|MANGLARALTO|37643
22652|MANTA, CABECERA CANTONAL|37644
22653|HUAQUILLAS, CABECERA CANTONAL|37645
22654|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37646
22655|CRUCITA|37647
22656|CRUCITA|37648
22657|PIÑAS, CABECERA CANTONAL|37649
22658|MONTECRISTI|37650
22659|MACHALILLA|37651
22660|TARQUI|37652
22661|TARQUI|37653
22662|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37654
22663|MANTA, CABECERA CANTONAL|37655
22664|12 DE MARZO|37656
22665|SANTA ROSA (CABECERA CANTONAL)|37657
22666|SAMBORONDÓN, CABECERA CANTONAL|37658
22667|SALINAS, CABECERA CANTONAL|37659
22668|MILAGRO, CABECERA CANTONAL|37660
22669|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37661
22670|GUAYAQUIL, CABECERA CANTONAL Y CAPITAL PROVINCIAL|37662
22671|SAMBORONDÓN, CABECERA CANTONAL|37663
22672|SALINAS, CABECERA CANTONAL|37664
22673|DAULE, CABECERA CANTONAL|37665
22674|TARQUI|37666
22675|TARQUI|37667
