id|provincia| poblacion |numero de cantones |id_1
29985|GUAYAS|3645483|25|22489
29986|GUAYAS|3645483|25|22490
29987|GUAYAS|3645483|25|22491
29988|EL ORO|600659|14|22492
29989|GUAYAS|3645483|25|22493
29990|MANABÍ |1369780|22|22494
29991|MANABÍ |1369780|22|22495
29992|MANABÍ |1369780|22|22496
29993|GUAYAS|3645483|25|22497
29994|MANABÍ |1369780|22|22498
29995|GUAYAS|3645483|25|22499
29996|GUAYAS|3645483|25|22500
29997|MANABÍ |1369780|22|22501
29998|EL ORO|600659|14|22502
29999|MANABÍ |1369780|22|22503
30000|MANABÍ |1369780|22|22504
30001|GUAYAS|3645483|25|22505
30002|MANABÍ |1369780|22|22506
30003|EL ORO|600659|14|22507
30004|MANABÍ |1369780|22|22508
30005|MANABÍ |1369780|22|22509
30006|EL ORO|600659|14|22510
30007|MANABÍ |1369780|22|22511
30008|MANABÍ |1369780|22|22512
30009|MANABÍ |1369780|22|22513
30010|MANABÍ |1369780|22|22514
30011|GUAYAS|3645483|25|22515
30012|SANTA ELENA|308693|3|22516
30013|GUAYAS|3645483|25|22517
30014|SANTA ELENA|308693|3|22518
30015|MANABÍ |1369780|22|22519
30016|GUAYAS|3645483|25|22520
30017|GUAYAS|3645483|25|22521
30018|GUAYAS|3645483|25|22522
30019|GUAYAS|3645483|25|22523
30020|GUAYAS|3645483|25|22524
30021|SANTA ELENA|308693|3|22525
30022|EL ORO|600659|14|22526
30023|GUAYAS|3645483|25|22527
30024|GUAYAS|3645483|25|22528
30025|SANTA ELENA|308693|3|22529
30026|GUAYAS|3645483|25|22530
30027|GUAYAS|3645483|25|22531
30028|MANABÍ |1369780|22|22532
30029|GUAYAS|3645483|25|22533
30030|GUAYAS|3645483|25|22534
30031|MANABÍ |1369780|22|22535
30032|GUAYAS|3645483|25|22536
30033|LOS RÍOS|778115|13|22537
30034|GUAYAS|3645483|25|22538
30035|MANABÍ |1369780|22|22539
30036|MANABÍ |1369780|22|22540
30037|GUAYAS|3645483|25|22541
30038|GUAYAS|3645483|25|22542
30039|GUAYAS|3645483|25|22543
30040|EL ORO|600659|14|22544
30041|GUAYAS|3645483|25|22545
30042|EL ORO|600659|14|22546
30043|MANABÍ |1369780|22|22547
30044|EL ORO|600659|14|22548
30045|MANABÍ |1369780|22|22549
30046|MANABÍ |1369780|22|22550
30047|GUAYAS|3645483|25|22551
30048|SANTA ELENA|308693|3|22552
30049|GUAYAS|3645483|25|22553
30050|GUAYAS|3645483|25|22554
30051|MANABÍ |1369780|22|22555
30052|GUAYAS|3645483|25|22556
30053|GUAYAS|3645483|25|22557
30054|GUAYAS|3645483|25|22558
30055|MANABÍ |1369780|22|22559
30056|MANABÍ |1369780|22|22560
30057|GUAYAS|3645483|25|22561
30058|GUAYAS|3645483|25|22562
30059|MANABÍ |1369780|22|22563
30060|GUAYAS|3645483|25|22564
30061|GUAYAS|3645483|25|22565
30062|EL ORO|600659|14|22566
30063|EL ORO|600659|14|22567
30064|GUAYAS|3645483|25|22568
30065|MANABÍ |1369780|22|22569
30066|GUAYAS|3645483|25|22570
30067|GUAYAS|3645483|25|22571
30068|GUAYAS|3645483|25|22572
30069|MANABÍ |1369780|22|22573
30070|GUAYAS|3645483|25|22574
30071|MANABÍ |1369780|22|22575
30072|GUAYAS|3645483|25|22576
30073|MANABÍ |1369780|22|22577
30074|SANTA ELENA|308693|3|22578
30075|SANTA ELENA|308693|3|22579
30076|EL ORO|600659|14|22580
30077|GUAYAS|3645483|25|22581
30078|GUAYAS|3645483|25|22582
30079|GUAYAS|3645483|25|22583
30080|GUAYAS|3645483|25|22584
30081|GUAYAS|3645483|25|22585
30082|GUAYAS|3645483|25|22586
30083|GUAYAS|3645483|25|22587
30084|GUAYAS|3645483|25|22588
30085|MANABÍ |1369780|22|22589
30086|GUAYAS|3645483|25|22590
30087|MANABÍ |1369780|22|22591
30088|MANABÍ |1369780|22|22592
30089|GUAYAS|3645483|25|22593
30090|MANABÍ |1369780|22|22594
30091|GUAYAS|3645483|25|22595
30092|MANABÍ |1369780|22|22596
30093|GUAYAS|3645483|25|22597
30094|MANABÍ |1369780|22|22598
30095|GUAYAS|3645483|25|22599
30096|GUAYAS|3645483|25|22600
30097|MANABÍ |1369780|22|22601
30098|MANABÍ |1369780|22|22602
30099|GUAYAS|3645483|25|22603
30100|LOS RÍOS|778115|13|22604
30101|MANABÍ |1369780|22|22605
30102|GUAYAS|3645483|25|22606
30103|GUAYAS|3645483|25|22607
30104|GUAYAS|3645483|25|22608
30105|GUAYAS|3645483|25|22609
30106|GUAYAS|3645483|25|22610
30107|GUAYAS|3645483|25|22611
30108|GUAYAS|3645483|25|22612
30109|EL ORO|600659|14|22613
30110|EL ORO|600659|14|22614
30111|GUAYAS|3645483|25|22615
30112|GUAYAS|3645483|25|22616
30113|EL ORO|600659|14|22617
